property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,130,196,66.33%,227,1.75,922700,12.98%,3.90%
Detached,North East,159,208,76.44%,175,1.1,592500,18.59%,2.49%
Detached,North,151,169,89.35%,124,0.82,681300,14.37%,1.60%
Detached,North West,140,159,88.05%,102,0.73,777400,12.78%,1.48%
Detached,West,121,139,87.05%,111,0.92,940900,15.21%,2.73%
Detached,South,236,277,85.20%,204,0.86,711800,13.78%,3.82%
Detached,South East,158,181,87.29%,124,0.78,709800,13.12%,1.95%
Detached,East,41,48,85.42%,29,0.71,515400,27.04%,3.20%
Apartment,City Centre,380,510,74.51%,519,1.37,354500,12.18%,2.55%
Apartment,North East,48,56,85.71%,40,0.83,301300,30.55%,3.50%
Apartment,North,62,65,95.38%,40,0.65,322300,24.25%,1.54%
Apartment,North West,64,72,88.89%,55,0.86,309400,19.74%,1.28%
Apartment,West,71,78,91.03%,57,0.8,349000,18.26%,2.32%
Apartment,South,92,111,82.88%,80,0.87,311300,22.66%,2.94%
Apartment,South East,77,79,97.47%,54,0.7,362000,19.16%,2.52%
Apartment,East,20,19,105.26%,14,0.7,249400,34.45%,3.19%
Semi-detached,City Centre,80,83,96.39%,98,1.23,894500,11.02%,3.18%
Semi-detached,North East,27,38,71.05%,28,1.04,427900,20.47%,2.59%
Semi-detached,North,24,25,96.00%,13,0.54,523400,14.60%,2.31%
Semi-detached,North West,21,21,100.00%,15,0.71,638800,15.47%,2.00%
Semi-detached,West,23,16,143.75%,16,0.7,782000,11.87%,2.92%
Semi-detached,South,33,35,94.29%,14,0.42,521800,15.04%,3.29%
Semi-detached,South East,30,32,93.75%,19,0.63,504800,12.91%,2.04%
Semi-detached,East,12,10,120.00%,2,0.17,387800,24.94%,3.33%
Row,City Centre,64,79,81.01%,67,1.05,594400,15.28%,1.52%
Row,North East,65,81,80.25%,58,0.89,363500,32.66%,4.54%
Row,North,68,83,81.93%,44,0.65,423000,17.43%,2.27%
Row,North West,37,42,88.10%,31,0.84,445000,23.44%,3.10%
Row,West,62,70,88.57%,39,0.63,465700,23.10%,4.14%
Row,South,63,81,77.78%,50,0.79,401800,27.43%,3.37%
Row,South East,75,81,92.59%,53,0.71,456500,17.90%,2.47%
Row,East,12,16,75.00%,9,0.75,284900,39.45%,3.79%
