property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,115,139,82.73%,189,1.64,888100,11.00%,1.96%
Detached,North East,138,180,76.67%,159,1.15,578100,18.58%,1.74%
Detached,North,113,145,77.93%,124,1.1,670600,13.87%,2.19%
Detached,North West,121,148,81.76%,100,0.83,766100,13.94%,4.22%
Detached,West,94,125,75.20%,106,1.13,915900,13.99%,2.90%
Detached,South,193,250,77.20%,198,1.03,685600,10.78%,2.74%
Detached,South East,138,153,90.20%,121,0.88,696200,13.06%,3.34%
Detached,East,34,41,82.93%,27,0.79,499400,26.72%,1.24%
Apartment,City Centre,280,405,69.14%,439,1.57,345700,12.61%,1.35%
Apartment,North East,42,47,89.36%,41,0.98,291100,28.52%,1.82%
Apartment,North,44,47,93.62%,39,0.89,317400,23.36%,1.60%
Apartment,North West,43,56,76.79%,59,1.37,305500,20.85%,2.14%
Apartment,West,49,64,76.56%,53,1.08,341100,19.06%,1.67%
Apartment,South,86,101,85.15%,69,0.8,302400,22.08%,1.82%
Apartment,South East,72,90,80.00%,58,0.81,353100,19.13%,3.03%
Apartment,East,22,26,84.62%,15,0.68,241700,33.68%,1.17%
Semi-detached,City Centre,53,82,64.63%,119,2.25,866900,9.72%,2.04%
Semi-detached,North East,23,19,121.05%,17,0.74,417100,20.31%,2.53%
Semi-detached,North,20,18,111.11%,13,0.65,511600,12.94%,1.81%
Semi-detached,North West,19,21,90.48%,16,0.84,626300,16.11%,1.87%
Semi-detached,West,17,28,60.71%,24,1.41,759800,13.47%,3.71%
Semi-detached,South,25,23,108.70%,13,0.52,505200,12.84%,2.29%
Semi-detached,South East,22,23,95.65%,16,0.73,494700,13.28%,3.41%
Semi-detached,East,10,8,125.00%,4,0.4,375300,26.11%,0.64%
Row,City Centre,50,78,64.10%,64,1.28,585500,14.67%,2.86%
Row,North East,63,75,84.00%,52,0.83,347700,28.59%,2.11%
Row,North,45,60,75.00%,32,0.71,413600,17.73%,1.55%
Row,North West,28,43,65.12%,27,0.96,431600,19.66%,2.47%
Row,West,40,44,90.91%,34,0.85,447200,20.12%,1.98%
Row,South,53,63,84.13%,35,0.66,388700,25.10%,3.21%
Row,South East,58,78,74.36%,53,0.91,445500,16.99%,2.79%
Row,East,11,11,100.00%,6,0.55,274500,37.32%,2.35%
