property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,156,277,56.32%,301,1.93,966300,14.15%,2.32%
Detached,North East,178,248,71.77%,237,1.33,609600,17.05%,0.71%
Detached,North,155,250,62.00%,190,1.23,686700,11.50%,0.51%
Detached,North West,192,290,66.21%,193,1.01,805000,13.17%,1.86%
Detached,West,166,229,72.49%,155,0.93,972600,11.66%,1.64%
Detached,South,282,394,71.57%,286,1.01,734600,13.79%,1.49%
Detached,South East,207,270,76.67%,176,0.85,728600,12.79%,1.24%
Detached,East,43,70,61.43%,35,0.81,530100,22.99%,1.13%
Apartment,City Centre,434,634,68.45%,644,1.48,351600,12.80%,0.80%
Apartment,North East,46,75,61.33%,69,1.5,310600,30.01%,2.41%
Apartment,North,62,94,65.96%,56,0.9,339800,20.93%,1.92%
Apartment,North West,82,94,87.23%,73,0.89,310900,17.50%,0.94%
Apartment,West,70,107,65.42%,82,1.17,351000,18.02%,1.77%
Apartment,South,108,121,89.26%,88,0.81,318100,25.43%,2.91%
Apartment,South East,81,93,87.10%,77,0.95,371700,22.47%,1.89%
Apartment,East,24,31,77.42%,19,0.79,258600,32.68%,2.33%
Semi-detached,City Centre,70,97,72.16%,109,1.56,921900,11.39%,1.75%
Semi-detached,North East,36,46,78.26%,35,0.97,441100,18.38%,0.98%
Semi-detached,North,29,31,93.55%,13,0.45,525700,10.93%,0.82%
Semi-detached,North West,25,41,60.98%,24,0.96,664900,14.80%,0.97%
Semi-detached,West,18,32,56.25%,24,1.33,811300,10.05%,2.06%
Semi-detached,South,29,43,67.44%,30,1.03,539900,15.44%,1.87%
Semi-detached,South East,35,43,81.40%,24,0.69,521300,14.65%,1.62%
Semi-detached,East,14,23,60.87%,12,0.86,402300,23.25%,0.27%
Row,City Centre,70,105,66.67%,78,1.11,618100,15.25%,2.33%
Row,North East,64,106,60.38%,87,1.36,382300,29.55%,1.87%
Row,North,71,116,61.21%,67,0.94,438000,18.44%,1.41%
Row,North West,61,73,83.56%,33,0.54,466600,23.96%,2.53%
Row,West,65,68,95.59%,41,0.63,471000,18.13%,0.86%
Row,South,102,108,94.44%,53,0.52,411700,23.63%,1.96%
Row,South East,83,85,97.65%,52,0.63,469400,18.78%,1.10%
Row,East,21,26,80.77%,12,0.57,303700,40.34%,5.49%
