property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,92,173,53.18%,312,3.39,951600,9.05%,-1.43%
Detached,North East,155,276,56.16%,348,2.25,617400,12.25%,-0.13%
Detached,North,124,198,62.63%,264,2.13,701000,10.00%,-0.09%
Detached,North West,119,174,68.39%,229,1.92,795400,9.91%,-1.29%
Detached,West,104,141,73.76%,167,1.61,968700,6.84%,-1.32%
Detached,South,234,349,67.05%,375,1.6,734100,10.92%,-0.50%
Detached,South East,156,209,74.64%,226,1.45,733700,8.89%,0.10%
Detached,East,35,66,53.03%,73,2.09,535600,16.61%,-0.69%
Apartment,City Centre,262,427,61.36%,711,2.71,354800,13.50%,0.14%
Apartment,North East,39,84,46.43%,131,3.36,317100,22.86%,-0.91%
Apartment,North,43,82,52.44%,119,2.77,350300,16.73%,0.75%
Apartment,North West,50,89,56.18%,114,2.28,323800,16.94%,0.78%
Apartment,West,54,77,70.13%,93,1.72,364600,17.39%,0.03%
Apartment,South,82,121,67.77%,143,1.74,325400,19.72%,0.37%
Apartment,South East,56,102,54.90%,138,2.46,373200,15.01%,-0.90%
Apartment,East,18,16,112.50%,22,1.22,263900,23.32%,-1.05%
Semi-detached,City Centre,42,72,58.33%,113,2.69,926700,8.54%,-1.43%
Semi-detached,North East,28,45,62.22%,49,1.75,447800,13.74%,-0.51%
Semi-detached,North,20,44,45.45%,44,2.2,536300,9.29%,0.22%
Semi-detached,North West,13,25,52.00%,24,1.85,661800,10.17%,-1.80%
Semi-detached,West,15,23,65.22%,33,2.2,811700,7.82%,-0.84%
Semi-detached,South,29,39,74.36%,34,1.17,541600,12.48%,-0.15%
Semi-detached,South East,18,36,50.00%,33,1.83,523900,9.88%,-0.29%
Semi-detached,East,6,10,60.00%,7,1.17,406800,16.30%,-0.61%
Row,City Centre,40,70,57.14%,90,2.25,609200,9.81%,-1.50%
Row,North East,63,114,55.26%,129,2.05,389000,19.22%,0.08%
Row,North,47,107,43.93%,115,2.45,435800,11.03%,-0.25%
Row,North West,43,58,74.14%,58,1.35,451400,14.57%,-1.72%
Row,West,48,69,69.57%,68,1.42,477700,13.93%,-0.79%
Row,South,73,114,64.04%,94,1.29,418000,15.02%,0.41%
Row,South East,55,88,62.50%,84,1.53,472500,13.47%,0.08%
Row,East,14,16,87.50%,14,1.0,309600,25.90%,0.52%
