property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,118,172,68.60%,324,2.75,955300,8.59%,-0.23%
Detached,North East,156,244,63.93%,384,2.46,608700,9.87%,-0.91%
Detached,North,111,223,49.78%,321,2.89,682500,5.62%,-1.02%
Detached,North West,135,179,75.42%,247,1.83,784700,8.16%,-0.66%
Detached,West,116,138,84.06%,180,1.55,964300,9.11%,-0.20%
Detached,South,246,313,78.59%,399,1.62,725100,8.58%,-0.85%
Detached,South East,150,205,73.17%,257,1.71,722900,7.29%,0.64%
Detached,East,36,52,69.23%,63,1.75,526200,14.37%,-0.13%
Apartment,City Centre,239,388,61.60%,732,3.06,347900,7.98%,-0.94%
Apartment,North East,33,84,39.29%,156,4.73,307600,14.65%,-2.47%
Apartment,North,43,84,51.19%,151,3.51,346000,11.68%,-0.52%
Apartment,North West,39,76,51.32%,114,2.92,322000,12.23%,0.09%
Apartment,West,58,69,84.06%,110,1.9,367000,16.47%,-0.81%
Apartment,South,78,125,62.40%,173,2.22,322900,15.94%,-0.74%
Apartment,South East,56,80,70.00%,126,2.25,368100,13.12%,-1.45%
Apartment,East,14,15,93.33%,26,1.86,256900,15.20%,-2.17%
Semi-detached,City Centre,51,83,61.45%,139,2.73,930500,7.13%,-0.08%
Semi-detached,North East,28,43,65.12%,52,1.86,440700,11.23%,-0.94%
Semi-detached,North,26,23,113.04%,37,1.42,519000,5.25%,-1.59%
Semi-detached,North West,24,29,82.76%,29,1.21,653600,9.06%,-0.73%
Semi-detached,West,16,25,64.00%,37,2.31,796600,6.85%,-0.26%
Semi-detached,South,16,38,42.11%,41,2.56,536500,9.80%,-0.30%
Semi-detached,South East,23,33,69.70%,37,1.61,516800,8.59%,0.56%
Semi-detached,East,6,9,66.67%,10,1.67,403000,15.21%,0.17%
Row,City Centre,50,61,81.97%,107,2.14,617400,6.63%,0.62%
Row,North East,53,126,42.06%,156,2.94,376700,11.75%,-2.08%
Row,North,57,70,81.43%,125,2.19,424800,5.59%,-1.03%
Row,North West,34,45,75.56%,63,1.85,453000,10.38%,-1.07%
Row,West,41,60,68.33%,85,2.07,478900,9.74%,-0.02%
Row,South,60,76,78.95%,104,1.73,409600,11.15%,-0.97%
Row,South East,46,64,71.88%,118,2.57,463400,9.16%,-0.19%
Row,East,8,17,47.06%,21,2.63,305500,18.36%,0.03%
