property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,121,197,61.42%,337,2.79,989600,4.79%,0.63%
Detached,North East,118,271,43.54%,449,3.81,603800,-0.25%,-0.67%
Detached,North,131,269,48.70%,348,2.66,685400,0.32%,-1.32%
Detached,North West,142,215,66.05%,232,1.63,809600,2.44%,0.05%
Detached,West,108,200,54.00%,234,2.17,987500,3.20%,-0.47%
Detached,South,246,378,65.08%,447,1.82,746600,3.15%,0.50%
Detached,South East,196,306,64.05%,356,1.82,734100,2.00%,0.10%
Detached,East,38,64,59.38%,87,2.29,526300,0.40%,0.88%
Apartment,City Centre,263,469,56.08%,821,3.12,348000,-0.23%,-0.06%
Apartment,North East,23,75,30.67%,166,7.22,297000,-2.08%,-1.59%
Apartment,North,49,89,55.06%,151,3.08,330200,-0.96%,0.55%
Apartment,North West,48,78,61.54%,126,2.63,316500,2.76%,0.06%
Apartment,West,58,103,56.31%,163,2.81,356300,3.31%,-0.08%
Apartment,South,64,115,55.65%,185,2.89,310800,0.55%,0.19%
Apartment,South East,69,131,52.67%,218,3.16,361100,-1.01%,0.17%
Apartment,East,15,25,60.00%,35,2.33,248400,-1.70%,-1.70%
Semi-detached,City Centre,53,92,57.61%,147,2.77,952100,5.09%,0.34%
Semi-detached,North East,19,53,35.85%,85,4.47,442000,1.19%,-1.05%
Semi-detached,North,24,39,61.54%,54,2.25,521800,0.08%,-2.21%
Semi-detached,North West,26,35,74.29%,34,1.31,677700,2.92%,1.94%
Semi-detached,West,13,27,48.15%,33,2.54,817700,2.87%,-0.61%
Semi-detached,South,25,41,60.98%,61,2.44,550300,3.83%,0.71%
Semi-detached,South East,21,41,51.22%,45,2.14,530100,3.33%,-0.13%
Semi-detached,East,8,20,40.00%,23,2.88,404500,0.82%,-0.88%
Row,City Centre,52,91,57.14%,116,2.23,616200,2.02%,0.93%
Row,North East,36,109,33.03%,198,5.5,371900,-0.91%,0.05%
Row,North,64,112,57.14%,146,2.28,426500,-1.25%,0.42%
Row,North West,39,61,63.93%,85,2.18,462200,1.56%,0.50%
Row,West,34,83,40.96%,108,3.18,472600,1.20%,0.72%
Row,South,53,96,55.21%,127,2.4,411000,1.78%,1.53%
Row,South East,63,113,55.75%,179,2.84,473300,1.94%,1.15%
Row,East,14,30,46.67%,37,2.64,301400,4.69%,-1.08%
