property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,78,62,125.81%,174,2.23,951000,8.56%,-0.42%
Detached,North East,99,123,80.49%,280,2.83,602000,6.42%,0.07%
Detached,North,84,64,131.25%,171,2.04,673900,3.61%,-0.88%
Detached,North West,64,53,120.75%,102,1.59,762700,4.07%,-1.99%
Detached,West,41,52,78.85%,99,2.41,965800,12.11%,0.33%
Detached,South,123,101,121.78%,208,1.69,720500,8.49%,0.04%
Detached,South East,92,49,187.76%,129,1.4,718200,7.03%,0.10%
Detached,East,30,34,88.24%,48,1.6,536600,11.42%,0.77%
Apartment,City Centre,148,131,112.98%,422,2.85,339000,3.99%,-1.42%
Apartment,North East,30,37,81.08%,118,3.93,303100,10.22%,-1.24%
Apartment,North,44,34,129.41%,102,2.32,334900,7.27%,-1.41%
Apartment,North West,28,34,82.35%,72,2.57,305900,6.40%,-3.38%
Apartment,West,27,40,67.50%,83,3.07,359200,12.07%,-1.26%
Apartment,South,52,46,113.04%,128,2.46,315400,11.02%,-1.00%
Apartment,South East,24,22,109.09%,86,3.58,356200,7.16%,-2.33%
Apartment,East,4,9,44.44%,24,6.0,253500,10.51%,-0.94%
Semi-detached,City Centre,25,20,125.00%,87,3.48,933500,8.32%,0.72%
Semi-detached,North East,20,22,90.91%,37,1.85,440800,8.46%,0.39%
Semi-detached,North,9,12,75.00%,29,3.22,512000,3.04%,-0.41%
Semi-detached,North West,16,11,145.45%,21,1.31,645300,8.09%,-0.49%
Semi-detached,West,7,3,233.33%,13,1.86,793100,7.71%,0.66%
Semi-detached,South,23,21,109.52%,29,1.26,533900,10.38%,0.17%
Semi-detached,South East,16,9,177.78%,23,1.44,515900,8.22%,-0.08%
Semi-detached,East,6,2,300.00%,4,0.67,407900,12.84%,-0.34%
Row,City Centre,22,26,84.62%,51,2.32,606100,5.17%,-2.24%
Row,North East,52,50,104.00%,97,1.87,370500,9.52%,-0.51%
Row,North,40,45,88.89%,83,2.08,417800,4.09%,-1.07%
Row,North West,12,16,75.00%,40,3.33,442900,6.93%,-2.08%
Row,West,21,20,105.00%,46,2.19,459500,5.27%,-3.00%
Row,South,40,31,129.03%,57,1.43,403300,9.09%,-1.32%
Row,South East,35,48,72.92%,81,2.31,457100,7.33%,-0.24%
Row,East,6,7,85.71%,21,3.5,306700,16.57%,-0.81%
