property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,114,180,63.33%,320,2.81,965400,12.44%,0.25%
Detached,North East,145,300,48.33%,321,2.21,618200,13.91%,0.82%
Detached,North,144,254,56.69%,278,1.93,701600,10.28%,0.19%
Detached,North West,138,199,69.35%,220,1.59,805800,12.06%,-0.22%
Detached,West,98,156,62.82%,172,1.76,981700,10.86%,-1.07%
Detached,South,233,331,70.39%,343,1.47,737800,11.28%,0.26%
Detached,South East,174,224,77.68%,223,1.28,733000,9.91%,-0.15%
Detached,East,44,65,67.69%,55,1.25,539300,19.18%,0.92%
Apartment,City Centre,274,460,59.57%,707,2.58,354300,12.98%,-0.31%
Apartment,North East,41,87,47.13%,112,2.73,320000,26.98%,1.49%
Apartment,North,50,85,58.82%,112,2.24,347700,19.16%,0.87%
Apartment,North West,63,78,80.77%,95,1.51,321300,16.88%,1.23%
Apartment,West,62,75,82.67%,85,1.37,364500,19.35%,1.53%
Apartment,South,84,128,65.63%,124,1.48,324200,22.52%,1.00%
Apartment,South East,67,105,63.81%,106,1.58,376600,18.91%,0.64%
Apartment,East,18,25,72.00%,25,1.39,266700,27.12%,1.21%
Semi-detached,City Centre,56,68,82.35%,109,1.95,940100,11.66%,0.29%
Semi-detached,North East,38,44,86.36%,40,1.05,450100,15.95%,1.06%
Semi-detached,North,16,29,55.17%,30,1.88,535100,9.54%,0.30%
Semi-detached,North West,25,28,89.29%,18,0.72,673900,13.89%,0.45%
Semi-detached,West,13,30,43.33%,38,2.92,818600,9.35%,-0.38%
Semi-detached,South,32,38,84.21%,31,0.97,542400,13.24%,0.26%
Semi-detached,South East,16,18,88.89%,18,1.13,525400,12.03%,-0.45%
Semi-detached,East,4,6,66.67%,9,2.25,409300,18.74%,0.69%
Row,City Centre,42,72,58.33%,85,2.02,618500,13.15%,0.60%
Row,North East,68,104,65.38%,110,1.62,388700,22.62%,0.23%
Row,North,69,96,71.88%,82,1.19,436900,13.51%,-1.04%
Row,North West,43,60,71.67%,54,1.26,459300,17.20%,-0.26%
Row,West,49,65,75.38%,63,1.29,481500,15.38%,0.46%
Row,South,80,85,94.12%,67,0.84,416300,16.22%,0.99%
Row,South East,53,68,77.94%,63,1.19,472100,14.64%,-0.72%
Row,East,15,23,65.22%,16,1.07,308000,29.79%,-0.03%
